bubble,,bubble,bubble
traffic_light,,traffic_light,traffic_light
street_sign,,street_sign,street_sign
eggnog,,beverage,alcohol
cup,,beverage,alcohol
toilet_tissue,,toilet_tissue,toilet_tissue
espresso,,beverage,espresso
red_wine,,beverage,alcohol
mashed_potato,,vegetable,solanaceous_vegetable
bell_pepper,,vegetable,solanaceous_vegetable
head_cabbage,,vegetable,cruciferous_vegetable
broccoli,,vegetable,cruciferous_vegetable
cauliflower,,vegetable,cruciferous_vegetable
zucchini,,vegetable,squash
spaghetti_squash,,vegetable,squash
acorn_squash,,vegetable,squash
butternut_squash,,vegetable,squash
cucumber,,vegetable,cucumber
artichoke,,vegetable,artichoke
cardoon,,vegetable,cardoon
mushroom,,vegetable,mushroom
menu,,menu,menu
hay,,hay,hay
bagel,,foodstuff,bread
meat_loaf,,foodstuff,bread
guacamole,,foodstuff,condiment
dough,,foodstuff,dough
French_loaf,,foodstuff,bread
chocolate_sauce,,foodstuff,condiment
pretzel,,foodstuff,bread
carbonara,,foodstuff,condiment
hot_pot,,nutriment,dish
trifle,,nutriment,course
potpie,,nutriment,dish
consomme,,nutriment,dish
hotdog,,nutriment,dish
burrito,,nutriment,dish
pizza,,nutriment,dish
ice_lolly,,nutriment,course
ice_cream,,nutriment,course
cheeseburger,,nutriment,dish
plate,,nutriment,course
cliff,,geological_formation,cliff
valley,,geological_formation,valley
alp,,geological_formation,natural_elevation
volcano,,geological_formation,natural_elevation
promontory,,geological_formation,natural_elevation
coral_reef,,geological_formation,natural_elevation
lakeside,,geological_formation,shore
seashore,,geological_formation,shore
geyser,,geological_formation,geyser
Petri_dish,,tableware,dish
soup_bowl,,tableware,dish
mixing_bowl,,tableware,dish
wooden_spoon,,tableware,wooden_spoon
seat_belt,,commodity,seat_belt
jean,,commodity,jean
fur_coat,,commodity,coat
pajama,,commodity,pajama
kimono,,commodity,robe
knee_pad,,commodity,protective_garment
crash_helmet,,commodity,headdress
mask,,commodity,attire
maillot,,commodity,hosiery
football_helmet,,commodity,headdress
bathing_cap,,commodity,headdress
vestment,,commodity,gown
suit,,commodity,suit
feather_boa,,commodity,scarf
Christmas_stocking,,commodity,hosiery
hoopskirt,,commodity,skirt
bonnet,,commodity,headdress
bow_tie,,commodity,necktie
trench_coat,,commodity,coat
bulletproof_vest,,commodity,bulletproof_vest
cardigan,,commodity,sweater
sweatshirt,,commodity,sweater
apron,,commodity,protective_garment
bearskin,,commodity,headdress
abaya,,commodity,robe
mortarboard,,commodity,headdress
poncho,,commodity,cloak
military_uniform,,commodity,military_uniform
shower_cap,,commodity,headdress
mitten,,commodity,mitten
brassiere,,commodity,brassiere
miniskirt,,commodity,skirt
cowboy_hat,,commodity,headdress
academic_gown,,commodity,gown
wig,,commodity,attire
gown,,commodity,gown
lab_coat,,commodity,coat
sombrero,,commodity,headdress
Windsor_tie,,commodity,necktie
overskirt,,commodity,skirt
sarong,,commodity,skirt
bolo_tie,,commodity,necktie
swimming_trunks,,commodity,swimsuit
jersey,,commodity,jersey
diaper,,commodity,diaper
maillot,,commodity,swimsuit
bikini,,commodity,swimsuit
sock,,commodity,hosiery
stole,,commodity,scarf
hand_blower,,commodity,appliance
sewing_machine,,commodity,appliance
iron,,commodity,appliance
espresso_maker,,commodity,appliance
microwave,,commodity,appliance
Dutch_oven,,commodity,appliance
rotisserie,,commodity,appliance
toaster,,commodity,appliance
waffle_iron,,commodity,appliance
vacuum,,commodity,appliance
dishwasher,,commodity,appliance
refrigerator,,commodity,appliance
washer,,commodity,appliance
bath_towel,,commodity,bath_towel
cloak,,covering,cloak
Band_Aid,,covering,cloth_covering
quilt,,covering,cloth_covering
doormat,,covering,doormat
sandal,,covering,shoe
running_shoe,,covering,shoe
cowboy_boot,,covering,cowboy_boot
Loafer,,covering,shoe
clog,,covering,clog
umbrella,,covering,protective_covering
shower_curtain,,covering,protective_covering
thimble,,covering,protective_covering
ski_mask,,covering,protective_covering
tile_roof,,covering,protective_covering
holster,,covering,protective_covering
shield,,covering,protective_covering
scabbard,,covering,protective_covering
lampshade,,covering,protective_covering
binder,,covering,protective_covering
birdhouse,,covering,protective_covering
mosquito_net,,covering,protective_covering
cuirass,,covering,protective_covering
dome,,covering,protective_covering
chain_mail,,covering,protective_covering
theater_curtain,,covering,protective_covering
window_shade,,covering,protective_covering
window_screen,,covering,protective_covering
fire_screen,,covering,protective_covering
pickelhaube,,covering,protective_covering
bell_cote,,covering,protective_covering
breastplate,,covering,protective_covering
gasmask,,covering,protective_covering
lens_cap,,covering,protective_covering
thatch,,covering,protective_covering
vault,,covering,protective_covering
shoji,,covering,shoji
manhole_cover,,covering,top
bottlecap,,covering,top
nipple,,covering,top
book_jacket,,covering,book_jacket
totem_pole,,decoration,totem_pole
necklace,,decoration,necklace
handkerchief,,fabric,piece_of_cloth
dishrag,,fabric,piece_of_cloth
paper_towel,,fabric,piece_of_cloth
bib,,fabric,piece_of_cloth
velvet,,fabric,velvet
wool,,fabric,wool
chain,,chain,chain
carton,,container,box
ashcan,,container,ashcan
safe,,container,box
cocktail_shaker,,container,shaker
chest,,container,box
tub,,container,tub
